id,canonical_name,primary_category,secondary_category,vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_ca65b3,"Troldtekt - Troldtekt akustik monteret på ståltrapezplader - Configuration: 75 mm mineraluld, 75 mm mineraluld, 120 mm ståltrapezplade, 22 mm forskalling, 25 mm Troldtekt akusti...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.6667,0.75,odeon,Troldtekt akustik monteret på ståltrapezplader,0.55,0.55,0.75,0.55,0.7,0.8,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_cd4a26,"Troldtekt - Troldtekt akustik med bagvedliggende mineraluld direkte på beton - Configuration: Beton, 45 mm mineraluld, 30 kg/m³, 25 mm Troldtekt akustik, TKH 70 mm, Extrem fin s...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9333,0.925,odeon,Troldtekt akustik med bagvedliggende mineraluld direkte på beton,0.25,0.8,1.0,0.95,0.85,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_d4bea0,"Troldtekt - Troldtekt akustik monteret på perforerede ståltrapezplader - Configuration: 75 mm mineraluld, Dampspærre, 75 mm mineraluld, 112 mm perforeret ståltrapezplade, 22 mm ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.8,0.8,odeon,Troldtekt akustik monteret på perforerede ståltrapezplader,0.65,0.95,0.9,0.75,0.75,0.85,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_d737c5,"Troldtekt - Troldtekt akustik med bagvedliggende mineraluld direkte på beton - Configuration: Beton, 20 mm mineraluld, 30 kg/m³, 22 mm forskalling, 25 mm Troldtekt akustik, TKH ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.7833,0.8,odeon,Troldtekt akustik med bagvedliggende mineraluld direkte på beton,0.15,0.45,0.85,0.65,0.85,0.75,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_de6fd0,"Troldtekt - Troldtekt akustik monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 22 mm forskalling, 25 mm Troldtekt akustik, TKH 177 - Absorption...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,absorptive,0.5667,0.675,odeon,Troldtekt akustik monteret på gips,0.25,0.2,0.35,0.7,0.65,0.7,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_e37eb9,"Troldtekt - Troldtekt akustik med bagvedliggende mineraluld direkte på beton - Configuration: Beton, 45 mm mineraluld, 30 kg/m³, 35 mm Troldtekt akustik, TKH 80 mm, Ultrafin str...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.95,0.95,odeon,Troldtekt akustik med bagvedliggende mineraluld direkte på beton,0.3,0.85,1.0,0.95,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_f3ee4f,"Troldtekt - Troldtekt akustik monteret på perforerede ståltrapezplader - Configuration: 75 mm mineraluld, Dampspærre, 75 mm mineraluld, 112 mm perforeret ståltrapezplade, 45 mm ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik monteret på perforerede ståltrapezplader,0.75,1.0,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_f915b9,"Troldtekt - Troldtekt akustik monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 45 mm reglar, 45 mm mineraluld, 35 mm Troldtekt akustik, TKH 210...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9333,0.95,odeon,Troldtekt akustik monteret på gips,0.35,0.6,1.0,0.9,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_fab032,"Troldtekt - Troldtekt akustik med bagvedliggende mineraluld direkte på beton - Configuration: Beton, 45 mm mineraluld, 30 kg/m³, 25 mm Troldtekt akustik, TKH 70 mm, Fin struktur...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9167,0.925,odeon,Troldtekt akustik med bagvedliggende mineraluld direkte på beton,0.25,0.85,1.0,0.9,0.85,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_m_fafdee,"Troldtekt - Troldtekt akustik med bagvedliggende mineraluld direkte på beton - Configuration: Beton, 45 mm mineraluld, 30 kg/m³, 25 mm Troldtekt akustik, TKH 70 mm, Ultrafin str...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9667,0.95,odeon,Troldtekt akustik med bagvedliggende mineraluld direkte på beton,0.25,0.75,1.0,1.0,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_031418,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 125 mm afstand, 35+40 mm Troldtekt Plus:, - 35 mm Troldtekt, - 40 mm mineraluld, TKH 200, Extrem fi...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus i nedhængte lofter,0.5,1.0,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_0d707b,"Troldtekt - Troldtekt akustik Plus - Configuration: 285 mm mineraluld, 30 kg/m³, Dampspærre, 22 mm forskalling, 25+18 mm Troldtekt Plus, TKH 332 - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus,0.7,0.85,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_0eea53,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 125 mm afstand, 35+40 mm Troldtekt Plus:, - 35 mm Troldtekt, - 40 mm mineraluld, TKH 200, Fin struk...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus i nedhængte lofter,0.5,1.0,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_29afb6,"Troldtekt - Troldtekt akustik Plus monteret på ståltrapezplader - Configuration: 75 mm mineraluld, 75 mm mineraluld, 120 mm ståltrapezplade, 45 mm reglar, 25+40 mm Troldtekt Plu...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus monteret på ståltrapezplader,0.55,0.9,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_2a0e27,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 157 mm afstand, 25+18 mm Troldtekt Plus:, - 25 mm Troldtekt, - 18 mm mineraluld, TKH 200, Extrem fi...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus i nedhængte lofter,0.45,0.95,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_2d8ee6,"Troldtekt - Troldtekt akustik Plus monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 45 mm reglar, 25+40 mm Troldtekt Plus:, - 25 mm Troldtekt, ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.95,odeon,Troldtekt akustik Plus monteret på gips,0.3,0.55,1.0,1.0,0.95,0.95,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_391220,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 135 mm afstand, 25+40 mm Troldtekt Plus:, - 25 mm Troldtekt, - 40 mm mineraluld, TKH 200, Fin struk...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.95,0.925,odeon,Troldtekt akustik Plus i nedhængte lofter,0.5,1.0,1.0,1.0,0.85,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_3c7882,"Troldtekt - Troldtekt akustik Plus - Configuration: 195 mm sandwich-element, 22 mm forskalling, 25+18 mm Troldtekt Plus:, - 25 mm Troldtekt, - 18 mm mineraluld 70 kg/m3, TKH 242...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.8833,0.925,odeon,Troldtekt akustik Plus,0.2,0.3,0.75,1.0,0.9,0.95,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_40f3c6,"Troldtekt - Troldtekt akustik Plus monteret på ståltrapezplader - Configuration: 75 mm mineraluld , 75 mm mineraluld, 120 mm ståltrapezplade, 45 mm reglar, 35+40 mm Troldtekt Pl...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus monteret på ståltrapezplader,0.55,0.9,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_47fb70,"Troldtekt - Troldtekt akustik Plus - Configuration: 285 mm mineraluld, 30 kg/m³, Dampspærre, 22 mm forskalling, 35+18 mm Troldtekt Plus, TKH 342 - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus,0.65,0.85,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_60d4a7,"Troldtekt - Troldtekt akustik Plus monteret på perforerede ståltrapezplader - Configuration: 75 mm mineraluld, Dampspærre, 75 mm mineraluld, 112 mm perforeret ståltrapezplade, 2...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus monteret på perforerede ståltrapezplader,0.65,0.95,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_638210,"Troldtekt - Troldtekt akustik Plus - Configuration: 285 mm mineraluld, 30 kg/m³, Dampspærre, 45 mm reglar, 25+18 mm Troldtekt Plus, TKH 355 - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus,0.7,0.85,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_7ffba3,"Troldtekt - Troldtekt akustik Plus - Configuration: 195 mm sandwich-element, 45 mm reglar, 25+40 mm Troldtekt Plus:, - 35 mm Troldtekt, - 40 mm mineraluld 70 kg/m3, TKH 275 - Ab...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus,0.3,0.7,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_80be63,"Troldtekt - Troldtekt akustik Plus monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 22 mm forskalling, 35+18 mm Troldtekt Plus:, - 35 mm Troldt...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9,0.95,odeon,Troldtekt akustik Plus monteret på gips,0.25,0.35,0.8,1.0,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_852157,"Troldtekt - Troldtekt akustik Plus monteret på perforerede ståltrapezplader - Configuration: 75 mm mineraluld, Dampspærre, 75 mm mineraluld, 112 mm perforeret ståltrapezplade, 4...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus monteret på perforerede ståltrapezplader,0.65,0.95,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_86e01d,"Troldtekt - Troldtekt akustik Plus monteret på ståltrapezplader - Configuration: 75 mm mineraluld, 75 mm mineraluld, 120 mm ståltrapezplade, 22 mm forskalling, 25+18 mm Troldtek...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus monteret på ståltrapezplader,0.5,0.7,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_8a65f1,"Troldtekt - Troldtekt akustik Plus monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 22 mm forskalling, 25+18 mm Troldtekt Plus:, - 25 mm Troldt...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.8667,0.925,odeon,Troldtekt akustik Plus monteret på gips,0.25,0.3,0.7,1.0,0.9,0.95,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_b1feea,"Troldtekt - Troldtekt akustik Plus monteret på ståltrapezplader - Configuration: 75 mm mineraluld, 75 mm mineraluld, 120 mm ståltrapezplade, 22 mm forskalling, 35+18 mm Troldtek...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus monteret på ståltrapezplader,0.55,0.75,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_b302c2,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 157 mm afstand, 25+18 mm Troldtekt Plus:, - 25 mm Troldtekt, - 18 mm mineraluld, TKH 200, Ultrafin ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus i nedhængte lofter,0.4,0.95,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_bf64a7,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 147 mm afstand, 35+18 mm Troldtekt Plus:, - 35 mm Troldtekt, - 18 mm mineraluld, TKH 200, Extrem fi...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus i nedhængte lofter,0.4,0.95,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_ccf887,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 147 mm afstand, 35+18 mm Troldtekt Plus:, - 35 mm Troldtekt, - 18 mm mineraluld, TKH 200, Ultrafin ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus i nedhængte lofter,0.4,0.95,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_cdc168,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 135 mm afstand, 25+40 mm Troldtekt Plus:, - 25 mm Troldtekt, - 40 mm mineraluld, TKH 200, Extrem fi...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9667,0.95,odeon,Troldtekt akustik Plus i nedhængte lofter,0.55,1.0,1.0,1.0,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_d13599,"Troldtekt - Troldtekt akustik Plus monteret på perforerede ståltrapezplader - Configuration: 75 mm mineraluld, Dampspærre, 75 mm mineraluld, 112 mm perforeret ståltrapezplade, 2...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus monteret på perforerede ståltrapezplader,0.7,0.95,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_d39499,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 147 mm afstand, 35+18 mm Troldtekt Plus:, - 35 mm Troldtekt, - 18 mm mineraluld, TKH 200, Fin struk...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus i nedhængte lofter,0.4,0.9,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_df15ca,"Troldtekt - Troldtekt akustik Plus - Configuration: 240 mm mineraluld, 30 kg/m³, Dampspærre, 45 mm forskalling, 25+40 mm Troldtekt Plus, TKH 310 - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus,0.65,0.85,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_df16f2,"Troldtekt - Troldtekt akustik Plus - Configuration: 195 mm sandwich-element, 45 mm reglar, 25+40 mm Troldtekt Plus:, - 25 mm Troldtekt, - 40 mm mineraluld 70 kg/m3, TKH 265 - Ab...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus,0.25,0.6,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_e21bbf,"Troldtekt - Troldtekt akustik Plus monteret på gips - Configuration: 95 mm mineraluld, 22 mm forskalling, 13 mm gips, 45 mm reglar, 35+40 mm Troldtekt Plus:, - 35 mm Troldtekt, ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus monteret på gips,0.3,0.6,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_e88103,"Troldtekt - Troldtekt akustik Plus - Configuration: 240 mm mineraluld, 30 kg/m³, Dampspærre, 45 mm reglar, 35+40 mm Troldtekt Plus, TKH 320 - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus,0.7,0.85,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_eea30e,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 135 mm afstand, 25+40 mm Troldtekt Plus:, - 25 mm Troldtekt, - 40 mm mineraluld, TKH 200, Ultrafin ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt akustik Plus i nedhængte lofter,0.5,1.0,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_f49aa5,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 125 mm afstand, 35+40 mm Troldtekt Plus:, - 35 mm Troldtekt, - 40 mm mineraluld, TKH 200, Ultrafin ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,1.0,odeon,Troldtekt akustik Plus i nedhængte lofter,0.45,1.0,1.0,1.0,1.0,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_akustik_p_f79b05,"Troldtekt - Troldtekt akustik Plus i nedhængte lofter - Configuration: Beton, 157 mm afstand, 25+18 mm Troldtekt Plus:, - 25 mm Troldtekt, - 18 mm mineraluld, TKH 200, Fin struk...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9333,0.925,odeon,Troldtekt akustik Plus i nedhængte lofter,0.45,0.95,1.0,0.95,0.85,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_designl_s_2a80e5,"Troldtekt - Troldtekt designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt line, TKH 35 mm - Absorption class: D",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.6,0.8,odeon,Troldtekt designløsninger monteret direkte på beton,0.1,0.2,0.4,0.6,0.8,0.8,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_designl_s_482757,"Troldtekt - Troldtekt designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 5, TKH 35 mm - Absorption class: D",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.7833,0.875,odeon,Troldtekt designløsninger monteret direkte på beton,0.15,0.3,0.55,0.95,0.85,0.9,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_designl_s_99af3a,"Troldtekt - Troldtekt designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 7, TKH 35 mm - Absorption class: D",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.7833,0.85,odeon,Troldtekt designløsninger monteret direkte på beton,0.15,0.25,0.55,0.95,0.85,0.85,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_designl_s_c8c0e3,"Troldtekt - Troldtekt designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 9, TKH 35 mm - Absorption class: D",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.8167,0.825,odeon,Troldtekt designløsninger monteret direkte på beton,0.15,0.25,0.6,1.0,0.85,0.8,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_1d31e9,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt line, 18 mm mineraluld 70 kg/m3, TKH 53 mm - Absorption class: C",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.95,0.975,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.15,0.4,0.9,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_2747e7,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 5, 18 mm mineraluld 70 kg/m3, TKH 53 mm - Absorption class: B",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9667,0.925,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.2,0.55,1.0,1.0,0.9,0.95,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_46e5dc,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 9, 40 mm mineraluld 70 kg/m3, TKH 75 mm - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,1.0,0.925,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.35,1.0,1.0,1.0,1.0,0.85,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_71d5c9,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 7, 18 mm mineraluld 70 kg/m3, TKH 53 mm - Absorption class: B",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9667,0.9,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.2,0.55,1.0,1.0,0.9,0.9,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_8cdde9,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 9, 18 mm mineraluld 70 kg/m3, TKH 53 mm - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.9,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.25,0.6,1.0,1.0,0.95,0.85,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_a366fc,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 5, 40 mm mineraluld 70 kg/m3, TKH 75 mm - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.95,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.35,0.95,1.0,1.0,0.95,0.95,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_d8b2de,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt line, 40 mm mineraluld 70 kg/m3, TKH 75 mm - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.975,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.3,0.85,1.0,1.0,0.95,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_desi_ff425d,"Troldtekt - Troldtekt Plus designløsninger monteret direkte på beton - Configuration: Beton, 35 mm Troldtekt contrast 7, 40 mm mineraluld 70 kg/m3 TKH, 75 mm - Absorption class: A",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9833,0.925,odeon,Troldtekt Plus designløsninger monteret direkte på beton,0.35,1.0,1.0,1.0,0.95,0.9,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_mont_01daad,"Troldtekt - Troldtekt Plus monteret direkte på beton - Configuration: Beton, 35+18 mm Troldtekt Plus:, - 35 mm Troldtekt, - 18 mm mineraluld 70 kg/m3, TKH 53 mm, Ultrafin strukt...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.9667,0.95,odeon,Troldtekt Plus monteret direkte på beton,0.2,0.45,1.0,1.0,0.9,1.0,0.0
odeon_wooden_concrete_alternative_porous_troldtekt_troldtekt_plus_mont_14f62a,"Troldtekt - Troldtekt Plus monteret direkte på beton - Configuration: Beton, 25+18 mm Troldtekt Plus:, - 25 mm Troldtekt, - 18 mm mineraluld 70 kg/m3, TKH 43 mm, Fin struktur - ...",Acoustic Treatment,porous_fiber_absorber,acoustic_treatment,porous_fiber_absorber,highly_absorptive,0.95,0.925,odeon,Troldtekt Plus monteret direkte på beton,0.15,0.4,1.0,1.0,0.85,1.0,0.0
